from,from_area,from_elevation,from_latitude,from_longitude,to,to_area,to_elevation,to_latitude,to_longitude,distance_reported,distance_true,curvature
Finestrelles,Pirineos E (ES),2827,42.414475,2.133279,Pic Gaspard,Alpes (FR),3883,44.99811,6.33042,443,443.011,6.9
Bastiments,Pirineos E (ES),2881,42.42612,2.233078,Doigt de Dieu,Alpes (FR),3973,45.00382,6.31445,436,435.503,7.7
Bastiments,Pirineos E (ES),2881,42.42612,2.233078,Barre des Ecrins,Alpes (FR),4102,44.92215,6.35953,432,432.529,7.7
Canigou,Pirineos E (FR),2784,42.518976,2.456582,Pic Gaspard,Alpes (FR),3867,44.99811,6.33042,416,415.584,7.7
Canigou,Pirineos E (FR),2784,42.518976,2.456582,Barre des Ecrins,Alpes (FR),4102,44.92215,6.35953,412,411.961,7.7
Noufonts,Pirineos E (ES),2851,42.423963,2.168083,Tete de l'Estrop,Alpes (FR),2961,44.28619,6.50457,408,407.11,7.7
Puy de la Seche,Alpes (FR),2820,44.289166,6.484417,Pic de l'Infern,Pirineos (ES),2869,42.423968,2.213939,403,402.689,7.7
Canigou,Pirineos E (FR),2784,42.518976,2.456582,St. de la Fremma,Alpes (FR),2747,44.15174,6.69827,388,388.067,7.7
Canigou,Pirineos E (FR),2784,42.518976,2.456582,Tete de l'Estrop,Alpes (FR),2961,44.28619,6.50457,381,381.457,7.7
Plomb du Cantal,Massif Central (FR),1855,45.059214,2.761392,Mont Blanc,Alpes (FR),4810,45.83267,6.86512,332,331.449,7.7
Puig d'En Galileu,Mallorca (ES),1182,39.813118,2.854171,Saloria,Pirineos (ES),2789,42.514449,1.385144,324,324.558,7.7
Guadagnolo,Roma (IT),1181,41.913349,12.927362,Monte Renoso,Corsica (FR),2352,42.05974,9.13378,314,313.941,7.7
Puig Roig,Mallorca (ES),1002,39.860695,2.860469,Tossal de la Muga,Pirineos (ES),2859,42.474849,1.67763,307,307.071,7.7
Puig d'En Galileu,Mallorca (ES),1180,39.813118,2.854171,Puigmal,Pirineos E (ES),2913,42.383273,2.116799,292,292.387,7.7
Puig Roig,Mallorca (ES),1002,39.860695,2.860469,Torreta del Cadi,Pre Pirineo (ES),2562,42.287074,1.584198,290,290.228,7.7
Penyagolosa,S. Central (ES),1812,40.22276,-0.34977,Pic Long,Pirineos (ES),3192,42.8008,0.1002,289,289.102,7.7
Poqueira,Sierra Nevada (ES),2500,37.02755,-3.32359,Jebel Sougna,Atlas (MO),1582,35.115918,-5.402421,283,282.988,7.7
Puig Roig,Mallorca (ES),1002,39.860695,2.860469,Pedraforca,Pre Pirineo (ES),2506,42.239912,1.702927,281,281.794,7.7
Penyagolosa,S. Central (ES),1812,40.22276,-0.34977,La Munia,Pirineos (ES),3133,42.714916,0.131831,280,280.004,7.7
Penyagolosa,S. Central (ES),1812,40.22276,-0.34977,Monte Perdido,Pirineos (ES),3355,42.675579,0.034385,275,274.613,7.7
Penyagolosa,S. Central (ES),1812,40.22276,-0.34977,Puig Major,Mallorca (ES),1436,39.807994,2.794239,272,271.675,7.7
Puig de Galatzo,Mallorca (ES),1026,39.63396,2.486668,Aitana,Alicante (ES),1558,38.649514,-0.266163,261,261.413,7.7
Puig de Galatzo,Mallorca (ES),1026,39.63396,2.486668,Puig Campana,Alicante (ES),1406,38.597121,-0.193067,259,258.326,7.7
Gran Ballon,Vosgos (FR),1424,47.900833,7.098056,Mont Blanc,Alpes (FR),4810,45.83267,6.86512,230,230.65,7.7
Puig d'En Galileu,Mallorca (ES),1180,39.813118,2.854171,Turo del Home,Catalunya (ES),1706,41.776447,2.434803,221,221.147,7.7
Marcy,New York (US),1629,44.11275,-73.92371,Washington,New Hampshire,1916,44.27049,-71.30327,210,209.649,6.4
Mont Caro,Catalunya (ES),1441,40.803416,0.343496,Monte Perdido,Pirineos (ES),3355,42.675579,0.034385,210,209.748,7.7
Mont Caro,Catalunya (ES),1441,40.803416,0.343496,Aneto,Pirineos (ES),3404,42.631078,0.656636,205,204.881,7.7
Mont Caro,Catalunya (ES),1441,40.803416,0.343496,Comaloforno,Pirineos (ES),3029,42.591364,0.827833,203,202.836,7.7
Grignetta,Garda (IT),2177,45.9219,9.39072,Mont Blanc,Alpes (FR),4810,45.83267,6.86512,196,195.759,7.7
Valdemadera,Zaragoza (ES),1273,41.33,-1.345,Midi d'Ossau,Pirineos (ES),2885,42.843076,-0.438057,184,184.139,7.7
Penyagolosa,S. Central (ES),1812,40.22276,-0.34977,Puig Campana,Alicante (ES),1406,38.597121,-0.193067,181,181.263,7.7
Pico de las Nieves,Canarias (ES),1949,27.961977,-15.571756,Teide,Canarias (ES),3718,28.27277,-16.64233,110,110.534,7.7
Teide,Canarias (ES),3718,28.27277,-16.64233,Pico de las Nieves,Canarias (ES),1949,27.961977,-15.571756,110,110.534,7.7
